28447	gi|355398356|NR2-2/2HbN	100.00	31	0	0	1	31	589	619	7e-13	58.4
28447	gi|240129575|NR1	100.00	31	0	0	1	31	625	655	7e-13	58.4
30595	gi|355398356|NR2-2/2HbN	100.00	32	0	0	1	32	611	580	2e-13	60.2
30595	gi|240129575|NR1	100.00	32	0	0	1	32	647	616	2e-13	60.2
100753	gi|355398356|NR2-2/2HbN	100.00	50	0	0	1	50	158	109	4e-23	93.5
100753	gi|240129575|NR1	100.00	50	0	0	1	50	194	145	4e-23	93.5
102571	gi|355398356|NR2-2/2HbN	96.00	50	2	0	1	50	2012	1963	8e-20	82.4
102571	gi|240129575|NR1	96.00	50	2	0	1	50	1727	1678	8e-20	82.4
139613	gi|355398356|NR2-2/2HbN	100.00	68	0	0	1	68	370	437	5e-33	 126
139613	gi|240129575|NR1	100.00	68	0	0	1	68	406	473	5e-33	 126
254137	gi|32130540|psbO	97.50	80	0	2	1	78	1013	1092	1e-35	 135
312951	gi|355398356|NR2-2/2HbN	100.00	84	0	0	1	84	2145	2062	8e-42	 156
312951	gi|240129575|NR1	100.00	84	0	0	1	84	1860	1777	8e-42	 156
334799	gi|355398356|NR2-2/2HbN	100.00	86	0	0	1	86	521	436	7e-43	 159
334799	gi|240129575|NR1	100.00	86	0	0	1	86	557	472	7e-43	 159
580562	gi|355398356|NR2-2/2HbN	94.41	143	8	0	1	143	827	685	5e-61	 220
580562	gi|240129575|NR1	94.41	143	8	0	1	143	863	721	5e-61	 220
645595	gi|355398356|NR2-2/2HbN	100.00	166	0	0	1	166	2668	2833	5e-87	 307
645595	gi|240129575|NR1	100.00	166	0	0	1	166	2383	2548	5e-87	 307
660350	gi|355398356|NR2-2/2HbN	99.49	197	1	0	1	197	1583	1387	2e-102	 359
660350	gi|240129575|NR1	99.49	197	1	0	1	197	1619	1423	2e-102	 359
764647	gi|14456617|Na-ATPase	99.00	499	2	3	1	498	598	102	0.0	 891
769817	gi|14456617|Na-ATPase	99.63	540	1	1	1	540	2209	2747	0.0	 985
772157	gi|32130540|psbO	99.11	559	5	0	1	559	702	144	0.0	1005
145529	gi|355398356|NR2-2/2HbN	100.00	71	0	0	1	71	1760	1690	1e-34	 132
164141	gi|355398356|NR2-2/2HbN	100.00	72	0	0	1	72	1844	1773	3e-35	 134
164481	gi|32130540|psbO	100.00	72	0	0	1	72	768	839	3e-35	 134
262020	gi|355398356|NR2-2/2HbN	100.00	79	0	0	1	79	752	830	5e-39	 147
262020	gi|240129575|NR1	100.00	79	0	0	1	79	788	866	5e-39	 147
535371	gi|355398356|NR2-2/2HbN	99.20	125	1	0	1	125	808	932	1e-62	 226
535371	gi|240129575|NR1	99.20	125	1	0	1	125	844	968	1e-62	 226
599809	gi|355398356|NR2-2/2HbN	100.00	149	0	0	4	152	389	241	1e-77	 276
599809	gi|240129575|NR1	100.00	149	0	0	4	152	425	277	1e-77	 276
614951	gi|14456617|Na-ATPase	82.61	161	28	0	1	161	3826	3986	1e-37	 143
698418	gi|32130540|psbO	99.39	165	1	0	85	249	1	165	1e-84	 300
776589	gi|603053|psbA	99.61	509	2	0	1	509	750	1258	0.0	 929
779733	gi|603053|psbA	100.00	636	0	0	1	636	654	19	0.0	1175
372581	gi|32130540|psbO	94.51	91	5	0	1	91	435	525	3e-37	 141
396815	gi|355398356|NR2-2/2HbN	100.00	94	0	0	1	94	1316	1223	3e-47	 174
396815	gi|240129575|NR1	100.00	94	0	0	1	94	1352	1259	3e-47	 174
437585	gi|355398356|NR2-2/2HbN	99.01	101	1	0	1	101	1961	1861	2e-49	 182
